title,description
"Data Analyst and Automation Developer at Top Hat (Toronto, ON, Canada)","<p>We are looking for a Developer and Data Analyst to build out and optimize our data acquisition. You will be part of Top Hat&rsquo;s Sales Ops team, helping to define high-level objectives and implementing the metrics to measure their success. There are an unprecedented number of data needs and requests coming through at Top Hat, we need data -- it is the backbone of our day-to-day and strategic operations. The ideal candidate is interested in creating better processes to prioritize needs, move quickly and scale. Are you ready to uncover insights to help the business make decisions every day?&nbsp;</p><br /><p><strong>About the gig:</strong></p><br /><ul><br /><li>Envision and oversee the creation of an automated lead generation/scraping mechanisms. You will single-handedly save thousands of hours of work that is currently being done manually. You will be both Product Manager for the team creating the automation tools and actively contribute to the project, ensuring ease of use and scalability.</li><br /><li>While the automation work is in progress, you will manage a remote team of data scrapers, ultimately ensuring we have accurate data on current and potential customers</li><br /><li>You will work to create &ldquo;data as a product&rdquo; by:</li><br /><li>Defining problems to solve exact needs</li><br /><li>Determining data sources &amp; collection methods</li><br /><li>Creating processes to clean-up &amp; normalize data</li><br /><li>Monitor the data integrity of data collection systems</li><br /><li>Import into the central CRM (Salesforce)</li><br /><li>Collaborating with folks on the marketing, sales operations, and revenue operations teams to ensure that our &ldquo;data product&rdquo; is robust, easily accessible and usable by multiple parts of the business</li><br /><li>Help set short and long-term strategy for acquiring data</li><br /><li>Coordinate with third-party data providers to purchase, clean up, and import data that augments the current database</li><br /><li>Envision and implement new ways to help us reach customers</li><br /><li>Provide data support for other teams &amp; business units</li><br /></ul><br /><p><strong>About you:</strong></p><br /><ul><br /><li>You have 2+ years of data management, automation and analytics experience</li><br /><li>You have experience with Salesforce, RingLead, Data.com, Everstring, Looker and other data gathering, merging and deduplication tools</li><br /><li>You eat, sleep and breath data</li><br /><li>You&rsquo;re capable of solving challenging data problems with a combination of tools and code</li><br /><li>You have exceptional written and spoken communication skills</li><br /><li>Solid project management and organizational skills</li><br /><li>You likely have a degree in computer science or related data analysis courses</li><br /><li>You will work in a highly collaborative fashion to prioritize data collection, transformation, and advanced data analysis techniques.</li><br /><li>Basic knowledge of Python or other programming languages</li><br /></ul>"
Search Engineer/Data Scientist - Discovery at RedMart (Singapore),"<p>As one of the fastest growing e-commerce and logistics companies in Asia, RedMart offers an unparalleled scaling a startup experience. Our culture: entrepreneurial, fiercely intelligent, team oriented, deeply creative and whatever you add to it! We&rsquo;re fanatical about improving our customer experience and providing &ldquo;wow&rdquo; customer service. We're interested in talented, creative and passionate people joining our All-Star team who believe in our mission: To save our customers time and money for the important things in life!""</p><br /><p>The Discovery team is responsible for driving customers to find and shop for relevant items on RedMart's e-commerce websites and mobile applications. We cover search technologies, catalog management and related services and recommendation services to deliver a great customer experience. We are looking for a Search Engineer/Data Scientist who cares deeply about customers and users to help develop the next generation of search and personalization at RedMart. You will build data mining systems to tackle hard problems in understanding and predicting consumer behavior to offer items to customers which are most relevant to them.</p><br /><p>You will work with engineers, product managers, designers and business analysts in Discovery to develop innovative new technologies and data driven features and products. You will also work closely with other Data Scientists to collaborate on projects and share techniques and learnings. If you enjoy working with data to build products and solve hard problems in surprisingly creative ways, this is the role for you.</p><br /><p>Qualifications:</p><br /><ul><br /><li>Deep expertise in search, preferably in e-commerce. Excellent knowledge on improving search incrementally as well as making step-changes such as applying NLP, text mining, etc.</li><br /></ul><br /><ul><br /><li>Proven track record building robust search systems and achieving strong results</li><br /><li>Expertise in personalization and recommender systems</li><br /><li>Able to guide a team of engineers to identify and break down necessary architecture and services to support search and personalization services</li><br /><li>Able to guide and work well with a team of engineers to implement Machine Learning algorithms and models, as well as implementing necessary software</li><br /><li>Solid understanding of search metrics and implementing tracking to measure performance</li><br /><li>Solid understanding of search engines and utilizing features effectively. Familiarity with ElasticSearch is a plus</li><br /><li>Hands-on experience developing and implementing Machine Learning algorithms and models.Background in Machine Learning,Statistics &amp; Information Retrieval</li><br /><li>Design, implement, test robust technical solutions that our high traffic site/apps can rely on</li><br /><li>Write clean code that&rsquo;s testable, maintainable, solves the right problem and does it well. Code you can be proud of.</li><br /><li>Phd, Masters, or equivalent experience in a quantitative field (computer science, physics, mathematics, bioinformatics, etc.) a plus, but by no means a must</li><br /><li>Experience programming in functional languages (Scala,Golang,Haskell, Clojure etc.) a plus but not a must</li><br /><li>Knowledge of scripting languages like &nbsp;Python/R, familiarity with web frameworks a plus</li><br /><li>Experience with Java and/or Scala and microservices is a plus</li><br /><li>Understanding of A/B testing</li><br /></ul><br /><p>Desired Skills:</p><br /><ul><br /><li>Able to be a key influencer in the team&rsquo;s strategy and contribute significantly to team planning, showing good judgement making technical trade-offs between the team&rsquo;s short term and long term business needs, and the needs of the company as a whole</li><br /></ul><br /><ul><br /><li>Strong team player: Superb communication skills, thrives in a collaborative environment and be committed to the success of the team as a whole.</li><br /></ul><br /><ul><br /><li>Critical thinking: ability to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems</li><br /><li>Creativity: you can conceive of new data driven products, features, and technologies</li><br /><li>Results: you prioritize, focusing on ideas and features that will have significant, measurable impact</li><br /><li>Planning &amp; estimation: ability to set and meet your own project objectives &amp; milestones</li><br /><li>Communicate results and progress internally and externally in meetings, presentations, and tech talks</li><br /><li>Passion for technology. Our developers are always evaluating new tools and technologies that can make us better. What has attracted your interest lately?</li><br /></ul>"
"Principal Data Scientist - Pricing & Forecasting at Zalando SE (Berlin, Germany)","<p><strong>THE OPPORTUNITY</strong></p><br /><p><strong>Zalando</strong>&nbsp;is transforming from Europe&rsquo;s leading e-commerce company into a multi-service platform for fashion. From logistics to big brands, to manufacturers - we&rsquo;re building the platform that connects all people and parts of the fashion ecosystem.</p><br /><p><strong>Pricing &amp; Forecasting</strong> is at the core of our commercial operation.&nbsp;Our tools help to determine how much of each product to buy, to recommend the best prices for these products, and to ensure that we have the right level of logistics capacity to fulfill our customers demand. The Pricing and Forecasting engineering team uses cutting edge technology to forecast demand and pricing with focus on business and customer experience. Partnerships happen with all key engineering and product teams, business and customer experience teams.</p><br /><p>We are looking for a Principal Data Scientist to join us to be part of a team of highly accomplished data scientists and research engineers.</p><br /><p><strong>YOUR ROLE</strong></p><br /><p>As a Principal Data Scientist, you&rsquo;ll combine both worlds. You know the latest trends from research and innovation and have the experience to bring Machine Learning projects to production.</p><br /><ul><br /><li><strong>You consult and coordinate </strong>several data science projects across our department, such as price optimizations, discount recommendations, and order return predictions.</li><br /><li><strong>You drive problem definitions</strong>. You work closely with Product and Business to understand the requirements, define KPIs, and set expectations. With a team of Engineers and Data Scientists, you structure the research and development process.</li><br /><li><strong>You develop models. </strong>You analyze data and features, explain trade offs of various solutions, &nbsp;and build sophisticated algorithms and models for pricing-related forecasts and recommender systems, such as demand, returns, cancellations, and discounts.</li><br /><li><strong>You develop solutions</strong>. You apply innovation and technology to fashion e-commerce and develop highly scalable and robust systems that meet business requirements.</li><br /><li><strong>You network </strong>and help our team to find the right contacts inside and outside the company to solve challenges around our product.</li><br /></ul><br /><p><strong>WHAT WE ARE LOOKING FOR</strong></p><br /><ul><br /><li><strong>You are a wizard.</strong> You are experienced in the latest technologies and processes to transform an insight into a model and to deploy a highly scalable service. You also posses good programming skills (preferably Python), ML frameworks (TensorFlow, R), SQL/NoSQL, AWS.</li><br /><li><strong>You are a researcher. </strong>You are proud of your excellent academic achievements and your proven track record in research and innovation in the field of machine learning and optimization. Ideally you hold a Ph.D.</li><br /><li><strong>You are a leader.</strong> You can act as a role model and a mentor for a highly qualified team of data scientists.</li><br /><li><strong>You are a storyteller.</strong> You are an excellent communicator, who is proactive in solving customer centric problems in collaboration with business. Your strong analytical skills help you easily translate data insights into business opportunities.</li><br /><li><strong>You are an expert.</strong> You hold subject expertise in traditional and statistical models including but not limited to generalized linear modeling, regression, time series, naive Bayesian classifiers, parametric statistical analysis, error calculation. You also hold knowledge of optimization techniques and linear programming.</li><br /></ul><br /><p><strong><strong>YOU BENEFIT FROM</strong></strong></p><br /><p>Community. Tech culture of trust and empowerment, open source commitment, meetups, game nights, +100 internal technical and fun guilds, tech talks, product demos, Coderdojos, parties and events.</p><br /><p>Perks. Competitive salary, 40% Zalando shopping discount, discounts from external partners, public transport discounts, relocation assistance for internationals, free drinks and fruits, hardware of your choice.</p><br /><p>Development. Tour of Mastery, extensive onboarding, personal branding support, opportunity to attend and speak at data science conferences and Meetups, and encouragement to publish work.</p><br /><p>Work Environment. Self-organized, autonomous teams and flexible working hours.</p><br /><p>Scale. Unparalleled levels of data and opportunities.</p><br /><p><strong>WANT TO JOIN US? THEN GO AHEAD AND APPLY!</strong></p><br /><p>If you need guidance or have any questions about our hiring processes, please contact our recruiter Almog Greenberg.</p>"
"Data Scientist at Grindr (West Hollywood, CA)","<p><strong>Summary</strong></p><br /><p>The Data Scientist is a critical thinker who will engage with senior leaders to design well-constructed analyses derived from large datasets. The Data Scientist will work cross-functionally with product managers and engineers to deliver actionable results and should be comfortable working with Agile, cross-functional teams and eager to be a strategic partner in analytics assignments.</p><br /><p><strong>Responsibilities</strong></p><br /><ul><br /><li>Work with our Product, Engineering, Marketing, and Finance teams to answer complex questions about users, advertisers, and revenue</li><br /><li>Test hypotheses, create reports, handle open tickets and contribute to shared backlog using Jira</li><br /><li>Collaborate with developers, program managers, and product managers in an open, Agile environment</li><br /><li>Geek out on large datasets and generate insights from which business value can be ascertained</li><br /><li>Write queries in ANSI and Postgres SQL</li><br /></ul><br /><p><strong>Requirements</strong></p><br /><ul><br /><li>A passion for problem-solving and comfort with ambiguity</li><br /><li>3+ years of experience using quantitative data analysis to solve business problems</li><br /><li>Strong understanding of the principles and tools of statistics and machine learning</li><br /><li>Strong experience with statistical programming languages (R, Python)</li><br /><li>Strong experience building data visualizations, dashboards, and data representations</li><br /><li>Experience building real-time data pipelines within high volume data environments</li><br /><li>Familiarity with shell scripting and common Unix commands</li><br /><li>Solid understanding of mobile data analysis tools and social media metrics</li><br /><li>Strong communication skills with the ability to communicate effectively across all levels of the organization</li><br /><li>Ability to thrive in a dynamic, fast-paced environment, drive change, and collaborate effectively with a variety of individuals and organizations</li><br /><li>Master or Ph.D. degree in Engineering or related quantitative field (e.g. Computer Science, Mathematics, Physics, Engineering, Economics)</li><br /></ul><br /><p><strong>Preferred qualifications&nbsp;</strong></p><br /><ul><br /><li>Experience with JVM ecosystem software development</li><br /><li>Experience with data product deployment and A/B testing</li><br /><li>Experience with modern Apache data stack such as Kafka, Spark, Flink and Beam</li><br /><li>Knowledge of Computer Vision or Natural Language Processing</li><br /><li>Knowledge of Bayesian and Deep Learning approaches; graphical models</li><br /></ul><br /><p><strong>Benefits &amp; Perks</strong>&nbsp;</p><br /><ul><br /><li>100% covered medical and dental insurance</li><br /><li>Unlimited sick policy</li><br /><li>Competitive Salaries&nbsp;</li><br /><li>401(k)</li><br /><li>Catered daily lunch</li><br /><li>Stocked kitchen</li><br /><li>Free on-site parking</li><br /><li>Casual dress environment</li><br /></ul><br /><p><strong><em>Grindr is an equal opportunity employer</em></strong></p>"
"Head of Data Science at OfferUp (Bellevue, WA)","<p>Core to our mission is our use of data. Our marketplace yields millions of transactions every month, and we seek to use this data to improve every aspect of our customer experience. &nbsp;We are seeking a Head of Data Science to lead our emerging data science effort. In this role you will work closely with the entire executive team, define our long-term R&amp;D roadmap, mentor and manage all other scientists, and partner with with product managers and engineers to deliver data-driven insights and product improvements.</p><br /><p>The ideal candidate has a broad understanding of the entire landscape of machine learning and data science, has a solid track record of transferring research results into product, is excellent in all forms of communication, will be a magnet for others to join the team, and will have a strategic mindset that helps to shape the direction of the company.</p><br /><p>When successful in this role you will be recognized as a world-class Data Science leader. You will both identify best practices that OfferUp should adopt, and develop best practices that will be adopted by other organizations. This is a role that will require great leadership skills to drive change across the entire organization.</p><br /><p><strong><strong>Responsibilities:</strong></strong></p><br /><ul><br /><li>Define and prioritize the basic research opportunities for the entire company;</li><br /><li>Identify all infrastructure gaps required to make data science as productive as possible;</li><br /><li>Serve as a domain expert in many areas of machine learning and data science;</li><br /><li>Hire, mentor, and manage all other scientists within the company;</li><br /><li>Act as an internal advisor on all issues related to data;</li><br /><li>Contribute to the overall company strategy, especially as it pertains to data;</li><br /><li>Make individual technical contribution where possible;</li><br /><li>Serve as the company&rsquo;s public ambassador to the scientific community;</li><br /></ul>"
"Data Analyst - Agoda Hring Now!  Bangkok at Big Wednesday Digital (Bangkok, Thailand)","<br><br>Agoda is seeking talented data analysts to join multiple team's within Agoda, we have a range of roles open for persons straight out of university to experienced senior data handlers.<br><br><strong>Please note due to visa restrictions we can only accept international applications with 2+ years experience. For Thai candidate's straight out of university or with 1-2 years experience within data analysis we have a range of roles we'd love to speak to you about. </strong><br><br>Agoda is the largest and fastest growing online hotel booking platform in Asia. And as a Priceline Group company, we are part of the largest online travel company in the world. We have the dynamism and short chain of command of a start-up and the capital to make things happen. What's stopping you from getting in touch?<br><br>Bangkok: While it's 30°+ outside, our team don't sweat, knowing they have the coolest jobs out there. Working in one of the largest international Internet employers headquartered in Asia, your work has an impact on what we do around the globe. <br><br>We move fast - why wait for ages to see your ideas go live? Work on tough challenges, safe in the knowledge that you are surrounded by people as smart as you are (if not smarter!) to help solve them. And while we're on the subject, Agoda people come from over 74 countries: It's an incredible technical creative melting pot. <br><br>Technology is not just what we do - it's at the heart of who we are. We put cutting-edge technology in your hands so you can help us change the way people run their lives. We want you to come here so they can get there - and get your career going places, too.<br><br><strong>Responsibilities:</strong><ul><li>Provide problems and analysis results with valuable insights for management</li><li>Work closely with Business to identify, analyse, and interpret trends or patterns in complex data sets using different techniques and tools such as R studio or Tableau</li><li>Analyse and optimise data usage, and precise for more data capturing if needed</li><li>Propose actionable solutions and options to solve problems</li></ul><br><br><strong>Qualifications:</strong><ul><li>Bachelor Degree in Computer Science/Statistics/Math or Engineering</li><li>0-5 years in Data Analyst position or otherwise in projects involving big data <strong>(0 - 2 yrs exp Thai applications only)</strong></li><li>Proficient in business intelligence tools and data warehouse i.e. T-SQL commands, Tableau and MS Excel</li><li>Must be data savvy and love crunching numbers</li><li>Strong analytical skills and excellent demonstrative ability in collection of data and analysis of trends in order to predict the conclusions and recommendations</li><li>Experience in R studio and data modelling is a plus</li><li>Fluent in English with strong communication skills</li></ul><br><br><strong>Please note due to visa restrictions we can only accept international applications with 2+ years experience. For Thai candidate's straight out of university or with 1-2 years experience within data analysis we have a range of roles we'd love to speak to you about. </strong><br><br><strong>Visa &amp; relocation assistance available for international candidates - Please send us your CV today!</strong><br><br>"
"Washington D.C Data Science Bootcamp Mentor at Thinkful Inc. (Washington, DC)","<p><strong>Job description</strong></p><br /><p>Thinkful&rsquo;s Flexible Data Science bootcamp pairs personalized, intensive mentorship with a curriculum tailored to launch aspiring Data Scientists careers.&nbsp;To clarify, the work is by-and-large online/remote with&nbsp;opportunities to also do in-person classes &amp; events!&nbsp;</p><br /><p>Help motivated learners get to those&nbsp;<em>aha!</em>&nbsp;moments. Mentor on everything from the basics of analytics to building specialized machine learning models in your student&rsquo;s domain of choice.</p><br /><p>Mentors benefit by expanding their network and marketability as subject matter experts who use their spare time impacting learners while learning themselves.</p><br /><p><strong>Our Data Science Mentors:</strong><strong><br></strong></p><br /><ul><br /><li>Share their passion for the field of Data Science with the next generation of professionals</li><br /><li>Meet one-on-one with their student(s) 3 times per week for hour-long sessions</li><br /><li>Lead remote sessions on their own time</li><br /><li>Utilize and improve upon our built-in-house curriculum<br><br></li><br /></ul><br /><p><strong>You should apply, if:</strong><strong><br></strong></p><br /><ul><br /><li>You have professional experience as a Data Scientist utilizing modern day tools and methodologies</li><br /><li>You&rsquo;re proficient in Python and mathematical concepts relevant to data science such as statistics, probability, and linear algebra</li><br /><li>You genuinely enjoy working with others and want to cultivate your people skills</li><br /><li>You&rsquo;re passionate about mentoring or teaching, and seek more opportunities to share your expertise</li><br /></ul>"
"Senior Data Scientist working with cutting edge research into online behaviour at Qubit (London, UK)","<p><strong>Senior Data Scientist</strong></p><br /><p>We&rsquo;re looking for a Data Scientist to join our Research team, to help us develop intelligent products around this data, and conduct cutting-edge research into consumer behaviour on the web.</p><br /><p>This is a great opportunity to conduct real R&amp;D around human behaviour. Our data collection tools store more than 1 billion data points every day. Overall, Qubit technology tracks consumer journeys leading to billions of pounds of online spending worldwide every year, for some of the largest names in online retail.</p><br /><p>We&rsquo;re looking for someone smart and motivated, with experience solving real data analysis problems with statistical and machine learning techniques. As part of our research team you&rsquo;ll help to understand our ever growing dataset, working closely with other parts of the business to ensure our products are ahead of the competition.</p><br /><p><strong><strong>Key Responsibilities</strong></strong></p><br /><ul><br /><li>Joining a team of Data Scientists at a fast growing company with plenty of opportunities to have a big impact</li><br /><li>Conducting pure research and developing that research into real products used by some of the top names in online retail</li><br /><li>Building statistical models and applying machine learning/artificial intelligence techniques to understand consumer behaviour online</li><br /><li>Working with a mixed set of technologies and experimenting with new ones</li><br /><li>Exploring how state-of-the-art machine learning methods can be applied to real-life problems at Google-scale</li><br /></ul><br /><p><strong><strong>Personal Characteristics</strong></strong></p><br /><p>We&rsquo;re open to applicants from any background. Our main requirement is that you&rsquo;re smart, motivated, and able to do the job. We don&rsquo;t mind what specific technologies you&rsquo;ve worked with in the past, although, having some previous experience with production-quality Python will help you add value quicker. We&rsquo;re looking for someone who adds to our team and complements the skills we already have. That said, in order to meet these requirements, you will probably have:</p><br /><ul><br /><li>At least one of:</li><br /><ul><br /><li>A PhD with a large data-analysis and statistics component (e.g. Machine Learning, Computer Vision, High Energy Physics, Genetics etc&hellip;)</li><br /><li>A MSc in Applied Statistics, Machine Learning or similar</li><br /><li>Commercial data science experience</li><br /><li>Experience deploying machine learning models in a production environment</li><br /></ul><br /><li>At least two of:</li><br /><ul><br /><li>Experience conducting data analysis on big data (e.g. TB+ scale datasets)</li><br /><li>Experience applying statistical techniques and machine learning algorithms to extract insights from real data</li><br /><li>Strong technical skills, e.g. software development, practical data analysis</li><br /></ul><br /><li>Ability to clearly communicate complex research findings with non-technical team members and clients</li><br /><li>An interest in human behaviour</li><br /></ul><br /><p><strong>Plenty of perks</strong></p><br /><p>As well as the opportunity to work with leading clients and a world-class team, you'll get:</p><br /><ul><br /><li>Realistic performance-related bonuses</li><br /><li>Equity options</li><br /><li>Private health and dental insurance</li><br /><li>Twice weekly supermarket shop so that you can have healthy breakfast, lunch and snacks</li><br /><li>Yoga and meditation classes</li><br /><li>Subsidised gym membership</li><br /><li>Fortnightly company socials</li><br /><li>Plenty of opportunities for training and development</li><br /></ul><br /><p><strong>Location:</strong>&nbsp;HQ is in London, other offices New York, San Francisco, LA, Paris and Hamburg</p><br /><p><strong>About Qubit.</strong></p><br /><p>Qubit is the leader in highly persuasive personalization at scale.</p><br /><p>Leading ecommerce companies work with Qubit to transform the way they understand and influence their customers in order to increase revenue, build loyalty and improve marketing efficiency.</p><br /><p>By combining rich customer data, deep learning technology and advanced segmentation capabilities, the Qubit Customer Influence Engine can precisely match customers with the widest range of personal, online experiences to influence behavior at scale.</p><br /><p>Qubit is trusted to deliver real impact to the bottom line for the biggest brands in eCommerce including Ubisoft, CafePress, Topshop, Shiseido, and Emirates. Across the global Qubit customer base, $600 million worth of online sales are influenced over a typical week.</p><br /><p>To date, we have received over $76 million in funding from Goldman Sachs, Accel, Sapphire Ventures, Balderton Capital and Salesforce Ventures.</p><br /><p><a href=""http://www.qubit.com/"" rel=""nofollow"">www.qubit.com</a></p><br /><p>Qubit is an equal opportunity employer committed to providing its employees with a work environment that is both challenging and rewarding. For additional information, please visit our website at&nbsp;<a href=""http://www.qubit.com/"" rel=""nofollow"">www.qubit.com</a></p>"
"Researcher Internship - Computer Vision at Rakuten (Setagaya, Japan)","<p><strong>Position Summary:</strong></p><br /><p>Rakuten Institute of Technology (RIT) is the R&amp;D department of the Rakuten group, conducting research for next-generation technologies that can empower customers. As a research assistant, you will work on projects in small teams to bridge academic research to core or emerging businesses. &nbsp;As a key member of RIT, you will conduct research, design a prototype, test and deploy it as software solutions.</p><br /><p><strong>Responsibilities:</strong></p><br /><ul><br /><li>Conduct research and develop software solutions</li><br /><li>Build prototype to demonstrate concept</li><br /><li>Publish research results in academic societies</li><br /><li>Test and deploy software solutions to real businesses</li><br /></ul><br /><p><strong>Skills &amp; Requirements</strong></p><br /><p><strong>Minimum Qualifications:</strong></p><br /><ul><br /><li>Knowledge of Computer Vision and/or Image Processing</li><br /><li>Excellent programming skill in C/C++, Java or Python</li><br /><li>Experience in software development on Unix or Windows</li><br /><li>Currently pursuing a master's or PhD degree in computer science or a related field</li><br /></ul><br /><p><strong>Preferred Qualifications:</strong></p><br /><ul><br /><li>Knowledge of Pattern Recognition and/or Machine Learning</li><br /><li>Knowledge of Computer Graphics and/or Virtual Reality</li><br /><li>Experience in MATLAB programming</li><br /><li>Experience in software development using OpenCV</li><br /><li>Mobile development</li><br /></ul>"
"Data Scientist Lead (m/f) wanted for leading e-hailing app in Europe (Hamburg) at mytaxi (Intelligent Apps GmbH) (Hamburg, Germany)","<p>You want to be part of the next step in the evolution of mytaxi into a global player in the ride hailing industry and the establishment of mytaxi&rsquo;s role in the future of autonomous vehicle platforms?</p><br /><p>Mytaxi is building up a data science team that is solving key problems relating to urban transportation. Therefore, we are keen on hiring a Data Science Lead (m/f) for defining, implementing and leading the structures and capabilities that are necessary for mytaxi to predict the future.The role will be responsible for leading a team of Data Scientists with focus on deploying machine learning based data products that are integrated into customer facing apps.</p><br /><p>The team we are seeking to build will focus on the data behind core challenges in mobility markets including machine learning, demand prediction, surge pricing and other predictive analysis required for the upcoming challenges of autonomous driving.</p><br /><p>Therefore, we are looking for someone with a blend of statistical modelling, analytical, mathematical, technical and engineering skills coupled with organisational and leadership skills who will be motivated to build up a new team&nbsp;in either our HQ in Hamburg or in a newly built Tech Hub in Berlin.</p><br /><p>The primary focus will be to build prediction systems that make use of a variety of data inputs to be integrated into various products across different systems.</p><br /><p>Your role:</p><br /><ul><br /><li>You will be&nbsp;<strong>disciplinarily and professionally</strong>&nbsp;<strong>responsible</strong>&nbsp;for a team of Data Scientists</li><br /><li>You&nbsp;<strong>build up a team of Data Scientists</strong>, defining and maintaining of productive working preconditions with a vast variety of challenges and task settings</li><br /><li>You&nbsp;<strong>motivate your team by proactively and transparently lead them</strong>&nbsp;through the dynamic challenges of the mobility markets of the future</li><br /><li>You will&nbsp;<strong>identify,</strong>&nbsp;<strong>understand, structure and solve complex problems</strong>&nbsp;in the prediction of demands and supplies in the fast-moving world of urban mobility</li><br /><li><strong>Develop production ready prediction tools</strong>&nbsp;used in a variety of processes to help move drivers and passengers through cities more efficiently</li><br /><li>You report to the Head of Business Intelligence in the definition of processes and models for a&nbsp;<strong>deep understanding of data in a growing variety of market environments leading to the projection of future developments</strong></li><br /><li>You will work closely with&nbsp;<strong>various stakeholders across Europe</strong>&nbsp;from Product, Tech, BI and Data Engineering Teams</li><br /></ul><br /><p>You are a problem solver, detail-oriented and self-motivated who thrives in a fast-paced, highly dynamic environment, combining technical, product, business and leadership perspectives. Further key aspects of your profile are:</p><br /><ul><br /><li>Advanced University degree in Maths, Statistics, Computer Science, Engineering or other quantitative discipline</li><br /><li>Several years of experience in leadership of tech-oriented teams</li><br /><li>Experience in mobility markets is a plus</li><br /><li>Your love to numbers in combination with your excellent communication skills enable you to transport complex messages in simple words</li><br /><li>You hold profound experience in machine learning, statistical analysis and predictive modelling in business environments</li><br /><li>Experience with Tensorflow, Caffe, MXNet or similar</li><br /><li>You are experienced in Hive, SQL, R, Python, Spark, Scala as well as in in building RestAPIs</li><br /><li>Experienced in manipulating big data sets and working in the environment of large and complex data structures</li><br /><li>You are open to trying out new things and are driven to optimize products and processes alike.</li><br /><li>It is in your nature to identify challenges directly and perceive them to be opportunities for the conceptualization and creation of solutions</li><br /><li>You are an empathic communicator and can motivate your team</li><br /><li>As a team player, you keep up high standards of communication and your sense of humor even in demanding and fast moving situations</li><br /><li>Fluent Proficiency in Business English, German is a plus</li><br /><li>Your passion about implementing advanced analytics and the will to play an essential role in the future of urban transport, make you a perfect fit</li><br /></ul>"
